sample_,var_,count,varcode,varname
6,272,6.0,Eph,Ephedra
6,282,4.0,Eriae,Ericaceae
6,315,3.0,Frx,Fraxinus
6,349,4.0,Graae,Gramineae
6,355,6.0,Hel,Helianthemum
6,401,2.0,Lab,Labiatae
6,411,7.0,Leg,Leguminosae
6,567,7.0,Pin,Pinus
6,576,3.0,Pla,Plantago
6,657,20.0,Que.i-T,Quercus ilex-type
6,659,3.0,Que.r-T,Quercus robur-type
6,675,1.0,Rha,Rhamnus
6,816,3.0,Tha,Thalictrum
6,854,4.0,Umb,Umbelliferae
6,1396,2.0,Trl.s,Trilete spore(s)
6,2610,2.0,PseudoS,Pseudoschizaea
7,66,177.0,Art,Artemisia
7,119,1.0,Bux,Buxus
7,165,3.0,Crl-T,Cerealia-type
7,185,2643.0,Cheae,Chenopodiaceae
7,196,2.0,Ciu,Cistus
7,201,22.0,Cm.Sf.A,Compositae subf. Asteroideae
7,203,127.0,Cm.Sf.C,Compositae subf. Cichorioideae
7,237,2.0,Dap,Daphne
7,262,1.0,Ech,Echium
7,272,7.0,Eph,Ephedra
7,282,2.0,Eriae,Ericaceae
7,349,9.0,Graae,Gramineae
7,355,4.0,Hel,Helianthemum
7,401,7.0,Lab,Labiatae
7,411,6.0,Leg,Leguminosae
7,530,11.0,Ole,Olea
7,562,1.0,Phi,Phillyrea
7,567,9.0,Pin,Pinus
7,572,2.0,Pst,Pistacia
7,576,5.0,Pla,Plantago
7,657,5.0,Que.i-T,Quercus ilex-type
7,659,4.0,Que.r-T,Quercus robur-type
7,793,1.0,Spa-T,Sparganium-type
7,816,5.0,Tha,Thalictrum
7,854,15.0,Umb,Umbelliferae
7,897,1.0,Vts,Vitis
7,1141,2.0,Monocoty,Monocotyledones
7,1396,2.0,Trl.s,Trilete spore(s)
7,1546,1.0,Thm,Thymelaea
7,2610,1.0,PseudoS,Pseudoschizaea
8,66,283.0,Art,Artemisia
8,141,1.0,Cphae,Caryophyllaceae
8,185,512.0,Cheae,Chenopodiaceae
8,196,1.0,Ciu,Cistus
8,201,7.0,Cm.Sf.A,Compositae subf. Asteroideae
8,203,14.0,Cm.Sf.C,Compositae subf. Cichorioideae
8,233,1.0,Cypae,Cyperaceae
8,237,1.0,Dap,Daphne
8,272,1.0,Eph,Ephedra
8,282,1.0,Eriae,Ericaceae
8,349,3.0,Graae,Gramineae
8,355,1.0,Hel,Helianthemum
8,411,3.0,Leg,Leguminosae
8,530,7.0,Ole,Olea
8,567,6.0,Pin,Pinus
8,576,1.0,Pla,Plantago
8,657,2.0,Que.i-T,Quercus ilex-type
8,659,2.0,Que.r-T,Quercus robur-type
8,675,1.0,Rha,Rhamnus
8,807,1.0,Tam,Tamarix
8,816,5.0,Tha,Thalictrum
8,854,4.0,Umb,Umbelliferae
8,1546,2.0,Thm,Thymelaea
9,32,1.0,Aln,Alnus
9,66,262.0,Art,Artemisia
9,165,1.0,Crl-T,Cerealia-type
9,185,1434.0,Cheae,Chenopodiaceae
9,201,21.0,Cm.Sf.A,Compositae subf. Asteroideae
9,203,54.0,Cm.Sf.C,Compositae subf. Cichorioideae
9,233,2.0,Cypae,Cyperaceae
9,237,3.0,Dap,Daphne
9,262,1.0,Ech,Echium
9,272,3.0,Eph,Ephedra
9,282,2.0,Eriae,Ericaceae
9,349,10.0,Graae,Gramineae
9,355,1.0,Hel,Helianthemum
9,401,1.0,Lab,Labiatae
9,411,2.0,Leg,Leguminosae
9,530,7.0,Ole,Olea
9,567,5.0,Pin,Pinus
9,576,4.0,Pla,Plantago
9,657,5.0,Que.i-T,Quercus ilex-type
9,659,1.0,Que.r-T,Quercus robur-type
9,689,1.0,Rubae,Rubiaceae
9,816,5.0,Tha,Thalictrum
9,854,7.0,Umb,Umbelliferae
9,2610,1.0,PseudoS,Pseudoschizaea
10,66,147.0,Art,Artemisia
10,165,1.0,Crl-T,Cerealia-type
10,185,478.0,Cheae,Chenopodiaceae
10,201,16.0,Cm.Sf.A,Compositae subf. Asteroideae
10,203,117.0,Cm.Sf.C,Compositae subf. Cichorioideae
10,233,3.0,Cypae,Cyperaceae
10,237,3.0,Dap,Daphne
10,272,10.0,Eph,Ephedra
10,282,3.0,Eriae,Ericaceae
10,349,6.0,Graae,Gramineae
10,355,7.0,Hel,Helianthemum
10,401,3.0,Lab,Labiatae
10,411,3.0,Leg,Leguminosae
10,530,7.0,Ole,Olea
10,562,1.0,Phi,Phillyrea
10,567,9.0,Pin,Pinus
10,572,1.0,Pst,Pistacia
10,576,4.0,Pla,Plantago
10,657,19.0,Que.i-T,Quercus ilex-type
10,659,2.0,Que.r-T,Quercus robur-type
10,816,2.0,Tha,Thalictrum
10,848,2.0,Typ.l-T,Typha latifolia-type
10,854,11.0,Umb,Umbelliferae
10,1118,1.0,Cen-T,Centaurea-type
10,1396,1.0,Trl.s,Trilete spore(s)
10,2610,5.0,PseudoS,Pseudoschizaea
11,32,1.0,Aln,Alnus
11,66,217.0,Art,Artemisia
11,165,1.0,Crl-T,Cerealia-type
11,185,406.0,Cheae,Chenopodiaceae
11,201,19.0,Cm.Sf.A,Compositae subf. Asteroideae
11,203,79.0,Cm.Sf.C,Compositae subf. Cichorioideae
11,233,2.0,Cypae,Cyperaceae
11,272,1.0,Eph,Ephedra
11,349,17.0,Graae,Gramineae
11,355,2.0,Hel,Helianthemum
11,394,2.0,Jun,Juniperus
11,411,6.0,Leg,Leguminosae
11,530,4.0,Ole,Olea
11,567,5.0,Pin,Pinus
11,572,1.0,Pst,Pistacia
11,576,2.0,Pla,Plantago
