sample_,agebp,ageup,agelo,deptime
1,3065.0,,,
2,3445.0,,,
3,3825.0,,,
4,4205.0,,,
5,4585.0,,,
6,4965.0,,,
7,5345.0,,,
8,5725.0,,,
9,7267.0,,,
10,8809.0,,,
11,11123.0,,,
12,12665.0,,,
13,13804.0,,,
14,14943.0,,,
15,16082.0,,,
