sample_,var_,count,varcode,varname
1,32,1.0,Aln,Alnus
1,53,4.0,Api,Apium
1,141,1.0,Cphae,Caryophyllaceae
1,185,4.0,Cheae,Chenopodiaceae
1,196,1.0,Ciu,Cistus
1,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
1,203,5.0,Cm.Sf.C,Compositae subf. Cichorioideae
1,217,1.0,Cor,Corylus
1,228,1.0,Cru,Cruciferae
1,233,45.0,Cypae,Cyperaceae
1,282,10.0,Eriae,Ericaceae
1,349,44.0,Graae,Gramineae
1,530,1.0,Ole,Olea
1,567,126.0,Pin,Pinus
1,576,4.0,Pla,Plantago
1,657,43.0,Que.i-T,Quercus ilex-type
1,659,10.0,Que.r-T,Quercus robur-type
1,853,1.0,Ulm,Ulmus
1,945,21.0,Lyc,Lycopodium
1,1396,1.0,Trl.s,Trilete spore(s)
1,1400,11.0,Mon.s,Monolete spore(s)
1,1708,34.0,Typ,Typha
1,2603,12100.0,conc.spk,Concentration spikes
1,2606,3.0,Labia(6),Labiatae (6)
1,2609,94.0,Zyg/Spi,Zygnema/Spirogyra
1,2612,1.0,...,Spike
2,53,1.0,Api,Apium
2,66,2.0,Art,Artemisia
2,95,1.0,Bet,Betula
2,185,4.0,Cheae,Chenopodiaceae
2,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
2,203,4.0,Cm.Sf.C,Compositae subf. Cichorioideae
2,228,1.0,Cru,Cruciferae
2,229,1.0,Cupae,Cupressaceae
2,233,62.0,Cypae,Cyperaceae
2,282,9.0,Eriae,Ericaceae
2,349,27.0,Graae,Gramineae
2,567,102.0,Pin,Pinus
2,576,7.0,Pla,Plantago
2,657,25.0,Que.i-T,Quercus ilex-type
2,659,5.0,Que.r-T,Quercus robur-type
2,945,40.0,Lyc,Lycopodium
2,1396,2.0,Trl.s,Trilete spore(s)
2,1708,35.0,Typ,Typha
2,2603,12100.0,conc.spk,Concentration spikes
2,2609,156.0,Zyg/Spi,Zygnema/Spirogyra
2,2612,1.0,...,Spike
3,66,3.0,Art,Artemisia
3,150,1.0,Cen,Centaurea
3,185,5.0,Cheae,Chenopodiaceae
3,196,2.0,Ciu,Cistus
3,201,4.0,Cm.Sf.A,Compositae subf. Asteroideae
3,203,4.0,Cm.Sf.C,Compositae subf. Cichorioideae
3,233,73.0,Cypae,Cyperaceae
3,282,12.0,Eriae,Ericaceae
3,349,41.0,Graae,Gramineae
3,355,3.0,Hel,Helianthemum
3,379,1.0,Hyp,Hypericum
3,521,1.0,Nup,Nuphar
3,562,1.0,Phi,Phillyrea
3,567,95.0,Pin,Pinus
3,576,1.0,Pla,Plantago
3,657,59.0,Que.i-T,Quercus ilex-type
3,659,4.0,Que.r-T,Quercus robur-type
3,662,1.0,Ranae,Ranunculaceae
3,945,37.0,Lyc,Lycopodium
3,1400,1.0,Mon.s,Monolete spore(s)
3,1708,34.0,Typ,Typha
3,2603,12100.0,conc.spk,Concentration spikes
3,2606,2.0,Labia(6),Labiatae (6)
3,2609,137.0,Zyg/Spi,Zygnema/Spirogyra
3,2612,1.0,...,Spike
4,53,1.0,Api,Apium
4,66,6.0,Art,Artemisia
4,95,1.0,Bet,Betula
4,185,5.0,Cheae,Chenopodiaceae
4,196,3.0,Ciu,Cistus
4,201,8.0,Cm.Sf.A,Compositae subf. Asteroideae
4,203,6.0,Cm.Sf.C,Compositae subf. Cichorioideae
4,228,1.0,Cru,Cruciferae
4,229,1.0,Cupae,Cupressaceae
4,233,89.0,Cypae,Cyperaceae
4,278,1.0,Epl,Epilobium
4,282,16.0,Eriae,Ericaceae
4,349,57.0,Graae,Gramineae
4,355,4.0,Hel,Helianthemum
4,521,3.0,Nup,Nuphar
4,530,4.0,Ole,Olea
4,562,4.0,Phi,Phillyrea
4,567,71.0,Pin,Pinus
4,572,4.0,Pst,Pistacia
4,603,1.0,Polae,Polygonaceae
4,657,95.0,Que.i-T,Quercus ilex-type
4,659,10.0,Que.r-T,Quercus robur-type
4,712,1.0,Sal,Salix
4,945,70.0,Lyc,Lycopodium
4,1400,10.0,Mon.s,Monolete spore(s)
4,1708,16.0,Typ,Typha
4,2603,12100.0,conc.spk,Concentration spikes
4,2607,2.0,Labia(3),Labiatae (3)
4,2609,188.0,Zyg/Spi,Zygnema/Spirogyra
4,2612,1.0,...,Spike
5,32,6.0,Aln,Alnus
5,53,1.0,Api,Apium
5,66,10.0,Art,Artemisia
5,95,1.0,Bet,Betula
5,108,1.0,Borae,Boraginaceae
5,141,1.0,Cphae,Caryophyllaceae
5,185,1.0,Cheae,Chenopodiaceae
5,196,3.0,Ciu,Cistus
5,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
5,203,5.0,Cm.Sf.C,Compositae subf. Cichorioideae
5,228,1.0,Cru,Cruciferae
5,229,3.0,Cupae,Cupressaceae
5,233,106.0,Cypae,Cyperaceae
5,248,1.0,Dipae,Dipsacaceae
5,282,7.0,Eriae,Ericaceae
5,315,1.0,Frx,Fraxinus
5,349,61.0,Graae,Gramineae
5,355,4.0,Hel,Helianthemum
5,530,8.0,Ole,Olea
5,562,3.0,Phi,Phillyrea
5,567,91.0,Pin,Pinus
5,572,1.0,Pst,Pistacia
5,576,6.0,Pla,Plantago
5,603,1.0,Polae,Polygonaceae
5,657,114.0,Que.i-T,Quercus ilex-type
5,659,16.0,Que.r-T,Quercus robur-type
5,791,2.0,Spa,Sparganium
5,854,1.0,Umb,Umbelliferae
5,945,53.0,Lyc,Lycopodium
5,1400,10.0,Mon.s,Monolete spore(s)
5,1708,28.0,Typ,Typha
5,2603,12100.0,conc.spk,Concentration spikes
5,2605,3.0,Cis.s,Cistus salvifolius
5,2606,5.0,Labia(6),Labiatae (6)
5,2609,187.0,Zyg/Spi,Zygnema/Spirogyra
5,2612,1.0,...,Spike
6,32,1.0,Aln,Alnus
6,53,5.0,Api,Apium
6,66,9.0,Art,Artemisia
6,95,1.0,Bet,Betula
6,108,1.0,Borae,Boraginaceae
6,150,2.0,Cen,Centaurea
6,185,5.0,Cheae,Chenopodiaceae
6,196,2.0,Ciu,Cistus
6,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
6,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
6,217,2.0,Cor,Corylus
6,229,1.0,Cupae,Cupressaceae
6,233,63.0,Cypae,Cyperaceae
6,248,2.0,Dipae,Dipsacaceae
6,282,15.0,Eriae,Ericaceae
6,315,3.0,Frx,Fraxinus
6,349,28.0,Graae,Gramineae
6,355,5.0,Hel,Helianthemum
6,456,6.0,Lys,Lysimachia
6,512,1.0,Myt,Myrtus
6,530,7.0,Ole,Olea
6,562,6.0,Phi,Phillyrea
6,567,115.0,Pin,Pinus
6,572,2.0,Pst,Pistacia
6,576,4.0,Pla,Plantago
6,657,98.0,Que.i-T,Quercus ilex-type
6,659,10.0,Que.r-T,Quercus robur-type
6,712,3.0,Sal,Salix
6,816,1.0,Tha,Thalictrum
6,853,3.0,Ulm,Ulmus
6,866,2.0,Urtae,Urticaceae
6,945,49.0,Lyc,Lycopodium
6,2603,12100.0,conc.spk,Concentration spikes
6,2606,1.0,Labia(6),Labiatae (6)
6,2607,1.0,Labia(3),Labiatae (3)
6,2609,171.0,Zyg/Spi,Zygnema/Spirogyra
6,2612,1.0,...,Spike
7,53,14.0,Api,Apium
7,66,8.0,Art,Artemisia
7,95,1.0,Bet,Betula
7,141,5.0,Cphae,Caryophyllaceae
7,150,4.0,Cen,Centaurea
7,185,4.0,Cheae,Chenopodiaceae
7,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
7,217,3.0,Cor,Corylus
7,229,1.0,Cupae,Cupressaceae
7,233,103.0,Cypae,Cyperaceae
7,248,1.0,Dipae,Dipsacaceae
7,282,10.0,Eriae,Ericaceae
7,349,65.0,Graae,Gramineae
7,355,3.0,Hel,Helianthemum
7,444,1.0,Lot,Lotus
7,512,1.0,Myt,Myrtus
7,530,7.0,Ole,Olea
7,567,117.0,Pin,Pinus
7,572,2.0,Pst,Pistacia
7,576,17.0,Pla,Plantago
7,657,119.0,Que.i-T,Quercus ilex-type
7,659,7.0,Que.r-T,Quercus robur-type
7,662,2.0,Ranae,Ranunculaceae
7,689,1.0,Rubae,Rubiaceae
7,816,2.0,Tha,Thalictrum
7,854,1.0,Umb,Umbelliferae
7,866,1.0,Urtae,Urticaceae
7,945,34.0,Lyc,Lycopodium
7,1396,2.0,Trl.s,Trilete spore(s)
7,1400,3.0,Mon.s,Monolete spore(s)
7,1708,2.0,Typ,Typha
7,2603,12100.0,conc.spk,Concentration spikes
7,2606,2.0,Labia(6),Labiatae (6)
7,2609,150.0,Zyg/Spi,Zygnema/Spirogyra
7,2612,1.0,...,Spike
7,2613,1.0,Verbeae,Verbenaceae
8,32,2.0,Aln,Alnus
8,53,16.0,Api,Apium
8,66,5.0,Art,Artemisia
8,95,1.0,Bet,Betula
8,141,1.0,Cphae,Caryophyllaceae
8,150,2.0,Cen,Centaurea
8,185,3.0,Cheae,Chenopodiaceae
8,196,1.0,Ciu,Cistus
8,201,5.0,Cm.Sf.A,Compositae subf. Asteroideae
8,203,7.0,Cm.Sf.C,Compositae subf. Cichorioideae
8,217,2.0,Cor,Corylus
8,233,29.0,Cypae,Cyperaceae
8,282,8.0,Eriae,Ericaceae
8,349,27.0,Graae,Gramineae
8,355,4.0,Hel,Helianthemum
8,530,3.0,Ole,Olea
8,562,1.0,Phi,Phillyrea
8,567,121.0,Pin,Pinus
8,572,2.0,Pst,Pistacia
8,576,7.0,Pla,Plantago
8,657,77.0,Que.i-T,Quercus ilex-type
8,659,3.0,Que.r-T,Quercus robur-type
8,662,2.0,Ranae,Ranunculaceae
8,712,2.0,Sal,Salix
8,945,45.0,Lyc,Lycopodium
8,1396,2.0,Trl.s,Trilete spore(s)
8,1400,3.0,Mon.s,Monolete spore(s)
8,1708,4.0,Typ,Typha
8,2603,12100.0,conc.spk,Concentration spikes
8,2606,1.0,Labia(6),Labiatae (6)
8,2609,146.0,Zyg/Spi,Zygnema/Spirogyra
8,2612,1.0,...,Spike
9,32,3.0,Aln,Alnus
9,53,2.0,Api,Apium
9,66,14.0,Art,Artemisia
9,95,1.0,Bet,Betula
9,141,2.0,Cphae,Caryophyllaceae
9,185,1.0,Cheae,Chenopodiaceae
9,196,2.0,Ciu,Cistus
9,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
9,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
9,228,1.0,Cru,Cruciferae
9,229,1.0,Cupae,Cupressaceae
9,233,21.0,Cypae,Cyperaceae
9,282,3.0,Eriae,Ericaceae
9,349,26.0,Graae,Gramineae
9,355,3.0,Hel,Helianthemum
9,405,2.0,Lat,Lathyrus
9,567,144.0,Pin,Pinus
9,576,4.0,Pla,Plantago
9,603,1.0,Polae,Polygonaceae
9,657,33.0,Que.i-T,Quercus ilex-type
9,659,3.0,Que.r-T,Quercus robur-type
9,689,3.0,Rubae,Rubiaceae
9,712,1.0,Sal,Salix
9,854,2.0,Umb,Umbelliferae
9,945,31.0,Lyc,Lycopodium
9,1400,1.0,Mon.s,Monolete spore(s)
9,2603,12100.0,conc.spk,Concentration spikes
9,2609,175.0,Zyg/Spi,Zygnema/Spirogyra
9,2612,1.0,...,Spike
10,32,1.0,Aln,Alnus
10,66,9.0,Art,Artemisia
10,95,4.0,Bet,Betula
