sample_,agebp,ageup,agelo,deptime
1,0.0,,,
2,982.0,,,
3,1963.0,,,
4,2945.0,,,
5,3927.0,,,
6,4908.0,,,
7,6871.0,,,
8,7553.0,,,
9,7733.0,,,
10,7913.0,,,
11,8094.0,,,
12,8274.0,,,
13,8545.0,,,
14,8725.0,,,
15,8796.0,,,
16,8864.0,,,
17,8898.0,,,
18,8932.0,,,
19,8966.0,,,
20,9001.0,,,
21,9035.0,,,
22,9095.0,,,
