sample_,var_,count,varcode,varname
4,3910,14.0,Flc.t.ud,Filicales triletes undiff.
4,3911,12.0,Flc.m.ud,Filicales monoletes undiff.
4,4262,4.0,T181,Type 181
4,4271,17.0,T225,Type 225
4,4274,11.0,Spi.cf.s,Spirogyra cf. scrobiculata
4,4366,45.0,Que.py-T,Quercus pyrenaica-type
5,32,18.0,Aln,Alnus
5,80,10.0,Ast-T,Aster-type
5,95,70.0,Bet,Betula
5,124,1.0,Cal.v,Calluna vulgaris
5,217,4.0,Cor,Corylus
5,233,44.0,Cypae,Cyperaceae
5,349,87.0,Graae,Gramineae
5,352,32.0,Hed,Hedera
5,401,1.0,Lab,Labiatae
5,411,6.0,Leg,Leguminosae
5,580,6.0,Pla.l-T,Plantago lanceolata-type
5,763,14.0,Scoae,Scrophulariaceae
5,854,3.0,Umb,Umbelliferae
5,863,2.0,Urt.d-T,Urtica dioica-type
5,929,5.0,Equ,Equisetum
5,953,1.0,Osm.r,Osmunda regalis
5,958,43.0,Ppd.v-T,Polypodium vulgare-type
5,961,76.0,Ptd.a,Pteridium aquilinum
5,1100,5.0,Lilae.ud,Liliaceae undiff.
5,1337,3.0,Pis.p,Pinus pinaster
5,1338,6.0,Pin.s-T,Pinus sylvestris-type
5,1478,3.0,Pla.c-T,Plantago coronopus-type
5,1810,2.0,Asp.a-T,Asphodelus albus-type
5,2889,3.0,Cht,Chaetomium
5,3018,2.0,Cicoid,Cichorioideae
5,3028,238.0,Eri-T,Erica-type
5,3043,3.0,Crl,Cerealia
5,3282,5.0,Crdae,Carduaceae
5,3284,2.0,Glo.cf.f,Glomus cf. fasciculatum
5,3910,3.0,Flc.t.ud,Filicales triletes undiff.
5,3911,1.0,Flc.m.ud,Filicales monoletes undiff.
5,4052,1.0,Sod-T,Sordaria-type
5,4226,2.0,T119,Type 119
5,4263,1.0,T18A,Type 18A
5,4271,5.0,T225,Type 225
5,4272,2.0,T233,Type 233
5,4274,9.0,Spi.cf.s,Spirogyra cf. scrobiculata
5,4366,62.0,Que.py-T,Quercus pyrenaica-type
6,32,22.0,Aln,Alnus
6,80,7.0,Ast-T,Aster-type
6,95,10.0,Bet,Betula
6,124,9.0,Cal.v,Calluna vulgaris
6,233,29.0,Cypae,Cyperaceae
6,349,100.0,Graae,Gramineae
6,352,28.0,Hed,Hedera
6,411,1.0,Leg,Leguminosae
6,854,2.0,Umb,Umbelliferae
6,863,1.0,Urt.d-T,Urtica dioica-type
6,919,2.0,Crp.c,Cryptogramma crispa
6,945,65.0,Lyc,Lycopodium
6,958,4.0,Ppd.v-T,Polypodium vulgare-type
6,961,51.0,Ptd.a,Pteridium aquilinum
6,1337,4.0,Pis.p,Pinus pinaster
